n_points,k,avg_seq_time_ms,avg_omp_time_ms
10000,2,0.136328,2.12747
10000,6,2.60569,17.0243
10000,10,5.17227,17.8219
10000,20,28.2246,52.8801
10000,50,35.2254,27.1945
10000,100,85.0359,38.6052
50000,2,2.40632,6.25334
50000,6,20.8165,26.4842
50000,10,70.3757,56.4293
50000,20,157.562,75.0742
50000,50,445.719,120
50000,100,1031.29,230.341
100000,2,6.66467,10.0275
100000,6,20.6996,15.5934
100000,10,34.7594,18.5148
100000,20,360.965,115.833
100000,50,1347.99,322.591
100000,100,2740.22,562.183
300000,2,21.168,15.0452
300000,6,405.54,171.951
300000,10,574.994,201.933
300000,20,1365.93,358.723
300000,50,8928.48,1697.81
300000,100,12804.3,2323.5
500000,2,16.9249,11.703
500000,6,846.313,331.604
500000,10,883.3,273.409
500000,20,8134.58,1951.5
500000,50,9350.9,1742.45
500000,100,20195.9,3383.49
1000000,2,47.2299,26.8622
1000000,6,1206.33,393.196
1000000,10,1959.07,535.003
1000000,20,5648.03,1224.47
1000000,50,15369.6,2710.43
1000000,100,41233.9,6988.39
